ID,Nome do Experimento,Área de Conhecimento,Grupo da Área,Status,Português,Inglês,Espanhol,Web,Android,iOS,Link
1,Medidas de Massa e Volume de Líquidos,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Sim,Sim,Sim,Sim,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=1
2,Separação de Mistura Heterogênea - Filtração Simples,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Sim,Sim,Sim,Sim,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=2
3,Separação de uma Mistura Homogênea - Destilação Simples,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Sim,Sim,Sim,Sim,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=3
4,Separação de uma Mistura Heterogênea - Decantação,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Sim,Sim,Sim,Sim,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=4
5,Ensaio de Chamas,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Sim,Sim,Sim,Sim,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=5
6,Caráter Oxidante dos Halogênios,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Sim,Sim,Sim,Sim,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=6
7,Condutividade Elétrica em Líquidos e Sólidos,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Sim,Sim,Sim,Sim,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=7
8,Pilha de Daniell,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Sim,Sim,Sim,Sim,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=8
9,Estudo da Espontaneidade de uma Reação,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Sim,Sim,Sim,Sim,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=9
10,Movimento Retilíneo Uniforme - MRU,CIÊNCIAS NATURAIS,FÍSICA,Disponível,Sim,Sim,Sim,Sim,Sim,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=10
11,Movimento Retilíneo Uniformemente Variado - MRUV,CIÊNCIAS NATURAIS,FÍSICA,Disponível,Sim,Sim,Sim,Sim,Sim,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=11
12,Princípio da Conservação da Energia,CIÊNCIAS NATURAIS,FÍSICA,Disponível,Sim,Sim,Sim,Sim,Sim,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=12
13,Queda Livre,CIÊNCIAS NATURAIS,FÍSICA,Disponível,Sim,Sim,Sim,Sim,Sim,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=13
14,Lei de Hooke,CIÊNCIAS NATURAIS,FÍSICA,Disponível,Sim,Sim,Sim,Sim,Sim,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=14
15,Hidrostática,CIÊNCIAS NATURAIS,FÍSICA,Disponível,Sim,Sim,Sim,Sim,Sim,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=15
16,Dilatômetro,CIÊNCIAS NATURAIS,FÍSICA,Disponível,Sim,Sim,Sim,Sim,Sim,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=16
17,Calorimetria,CIÊNCIAS NATURAIS,FÍSICA,Disponível,Sim,Sim,Sim,Sim,Sim,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=17
18,Lei de Ohm,CIÊNCIAS NATURAIS,FÍSICA,Disponível,Sim,Sim,Sim,Sim,Sim,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=18
19,Associação de Resistores,CIÊNCIAS NATURAIS,FÍSICA,Disponível,Sim,Sim,Sim,Sim,Sim,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=19
20,Pêndulo Simples ,CIÊNCIAS NATURAIS,FÍSICA,Disponível,Sim,Não,Não,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=20
21,Lei de Kirchhoff,CIÊNCIAS NATURAIS,FÍSICA,Disponível,Sim,Sim,Sim,Sim,Sim,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=21
22,Espelhos Planos,CIÊNCIAS NATURAIS,FÍSICA,Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=22
23,Estática,CIÊNCIAS NATURAIS,FÍSICA,Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=23
24,Pêndulo Balístico,CIÊNCIAS NATURAIS,FÍSICA,Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=24
25,Difração por Fenda Dupla,CIÊNCIAS NATURAIS,FÍSICA,Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=25
26,Capacitores,CIÊNCIAS NATURAIS,FÍSICA,Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=26
27,Campo Eletromagnético,CIÊNCIAS NATURAIS,FÍSICA,Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=27
28,Leds e Diodos ,CIÊNCIAS NATURAIS,FÍSICA,Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=28
29,Máxima Transferência de Pôtencia,CIÊNCIAS NATURAIS,FÍSICA,Disponível,Sim,Não,Não,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=29
30,Resistividade,CIÊNCIAS NATURAIS,FÍSICA,Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=30
31,Ângulo Limite e Refração da Luz,CIÊNCIAS NATURAIS,FÍSICA,Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=31
32,Pêndulo Físico,CIÊNCIAS NATURAIS,FÍSICA,Disponível,Sim,Sim,Sim,Sim,Sim,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=32
33,Ondas Mecânicas,CIÊNCIAS NATURAIS,FÍSICA,Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=33
34,Ação de um Campo Elétrico,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=34
35,Ensaio de Solubilidade dos Compostos,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Sim,Sim,Sim,Sim,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=35
36,Evidências Experimentais de uma Reação Química,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=36
37,Indicadores Ácido-Base,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Sim,Sim,Sim,Sim,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=37
38,Eletrólise,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=38
39,Condutividade Elétrica e Suas Interações Atômicas e Moleculares,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=39
41,Determinação do Ponto de Fusão de Substâncias Orgânicas,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Sim,Sim,Sim,Sim,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=41
42,Determinação dos Tipos de Dispersões pelo Efeito Tyndall,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=42
43,Determinação do Caráter Ácido-básico de Amostras,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Sim,Sim,Sim,Sim,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=43
44,Reatividade dos Metais: Síntese do Gás Hidrogênio ,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=44
45,Cromatografia em Papel - Tintas de Canetas,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=45
46,Experimento de Síntese do Cloreto de Hexaaminoníquel (II),CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=46
47,Síntese do Cloreto de Pentaaminoclorocobalto (III),CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=47
48,"Algarismos Significativos, Erros e Calibração de Vidrarias",CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Sim,Sim,Sim,Sim,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=48
49,Reação de Neutralização Ácido-base,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=49
50,Preparo e Diluição de Soluções,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=50
51,Espectroscopia Eletrônica Aplicada a Compostos de Coordenação,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Não,Não,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=51
52,Lançamentos Horizontais e Colisões,CIÊNCIAS NATURAIS,FÍSICA,Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=52
53,Oscilações,CIÊNCIAS NATURAIS,FÍSICA,Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=53
54,Caracterização de Complexos Via Análise Condutométrica,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Não,Não,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=54
55,Classificação das Reações Químicas,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=55
56,Reatividade Química dos Metais,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Sim,Sim,Sim,Sim,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=56
57,Reações Perigosas,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=57
58,Reações Químicas e Trocas de Energia,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=58
59,Produção do Alúmen,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=59
60,Lei da Indução de Faraday,CIÊNCIAS NATURAIS,FÍSICA,Disponível,Sim,Sim,Sim,Sim,Sim,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=60
61,Campo Magnético em Um Fio Retilíneo,CIÊNCIAS NATURAIS,FÍSICA,Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=61
62,Calor Específico de Corpos Sólidos,CIÊNCIAS NATURAIS,FÍSICA,Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=62
63,Calor Específico de Líquidos,CIÊNCIAS NATURAIS,FÍSICA,Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=63
64,Equação Termométrica,CIÊNCIAS NATURAIS,FÍSICA,Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=64
65,Deslocamento do Equilíbrio Químico,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Sim,Sim,Sim,Sim,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=65
66,Autoindução,CIÊNCIAS NATURAIS,FÍSICA,Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=66
67,Força Magnética entre Dois Fios Paralelos,CIÊNCIAS NATURAIS,FÍSICA,Disponível,Sim,Sim,Sim,Sim,Sim,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=67
68,Reações Químicas Metalográficas,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=68
69,Interação entre Dois Ímãs Permanentes,CIÊNCIAS NATURAIS,FÍSICA,Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=69
70,Indução Mútua entre Duas Bobinas,CIÊNCIAS NATURAIS,FÍSICA,Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=70
71,Estequiometria,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Sim,Sim,Sim,Sim,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=71
72,Destilação Fracionada,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Não,Sim,Sim,Sim,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=72
73,Cromatografia em Coluna e em Camada Delgada,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Não,Não,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=73
74,Determinação da Pressão de Vapor e da Entalpia de Vaporização,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Sim,Sim,Sim,Sim,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=74
75,Termodinâmica da Célula Eletroquímica,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Não,Não,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=75
76,Bancada de Reatores Químicos,"ENGENHARIAS, COMPUTAÇÃO E ARQUITETURA",PRÁTICAS ESPECÍFICAS DE ENG. QUÍMICA,Disponível,Sim,Não,Não,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=76
77,Extração com Solventes Reativos,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=77
78,Comparação Entre Carbonatos e Silicatos,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Não,Não,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=78
79,Observação das Propriedades do Carbono e Seus Derivados,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Sim,Sim,Sim,Sim,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=79
80,Determinação da Capacidade Tamponante de Um Sistema Tampão,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=80
81,Extração com Soxhlet,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Sim,Sim,Sim,Sim,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=81
82,Preparo e Propriedades de Solução Tampão,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=82
83,Cinética Química da Oxidação da Vitamina C,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=83
84,Determinação de Ferro em Leite em Pó Por Espectrometria de Absorção Atômica,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Não,Não,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=84
85,Determinação de Sódio e Potássio em Bebida Isotônica Por Fotometria de Chama,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Não,Não,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=85
86,Ponto de Ebulição de Hidrocarbonetos,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=86
88,Estudo de Algumas Propriedades dos Metais Alcalinos Terrosos,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Não,Não,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=88
89,Determinação de Ordem de Reação da Decomposição do Peróxido de Hidrogênio,CIÊNCIAS NATURAIS,QUÍMICA,Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=89
100,Ensaio de Tração,"ENGENHARIAS, COMPUTAÇÃO E ARQUITETURA",ESTRUTURAS,Disponível,Sim,Sim,Sim,Sim,Sim,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=100
101,Ensaio de Compressão,"ENGENHARIAS, COMPUTAÇÃO E ARQUITETURA",ESTRUTURAS,Disponível,Sim,Sim,Sim,Sim,Sim,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=101
102,"Ensaio de Dureza
","ENGENHARIAS, COMPUTAÇÃO E ARQUITETURA",ESTRUTURAS,Disponível,Sim,Sim,Sim,Sim,Sim,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=102
103,Ensaio de Torção,"ENGENHARIAS, COMPUTAÇÃO E ARQUITETURA",ESTRUTURAS,Disponível,Sim,Sim,Sim,Sim,Sim,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=103
104,Eletropneumática,"ENGENHARIAS, COMPUTAÇÃO E ARQUITETURA",PRÁTICAS ESPECÍFICAS DE ENG. MECÂNICA E PRODUÇÃO,Disponível,Sim,Não,Não,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=104
105,Instalações Elétricas Residenciais - Circuitos Básicos,"ENGENHARIAS, COMPUTAÇÃO E ARQUITETURA",INSTALAÇÕES ELÉTRICAS,Disponível,Sim,Sim,Sim,Sim,Sim,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=105
